"HCI1";"HCI2";"HCI3";"NINO";"DMI";"SAM"
1.261175;-0.9705095;-0.1576085;1.06805844845033;0.455040334867821;0.440162363463016
0.924532;1.23239;-0.558325;0.197344949642983;0.0442617996030296;0.652456427284744
-0.01520635;1.183295;1.53529;-0.52237776902436;-0.803690678815055;-0.362233458033168
-0.1875795;1.206985;-0.2404595;-0.180132000707022;-0.988458534034559;-0.660068886500796
0.1148575;-1.71633;-0.5100335;-0.562641977061694;-0.92576944029937;-1.91846255547135
-2.77473;-2.33554;0.107014;0.438930197866986;-1.4388301811321;-0.959240898791017
-0.4280065;0.1230535;-0.5256195;-1.0760106295377;-0.574380572783705;-0.764990716574284
2.523255;0.064447;-1.19546;1.13348778651099;-0.252686539142603;-2.17597770529078
0.9216935;0.501894;0.2603605;-0.0643724025996875;-0.361567596682668;-0.785039473913167
-1.86658;0.1982145;0.204596;0.433897171862319;-1.24251433496138;-0.247732777231103
0.7858115;0.1671235;-0.902642;-0.386486066898358;-1.08414188763037;-1.13076915602368
0.874879;-0.8061;-0.749723;0.78620899218899;-0.988458534034559;-0.582992552731313
-0.6420685;-0.349917;-1.01012;1.18381804655766;-0.23618940921229;-0.854319068717529
1.213025;-0.4799375;-0.458593;-0.436816326945026;-2.40061285606935;-1.53931827779603
0.278556;-0.5353495;-0.6253005;-0.285825546805024;0.0789057724566867;-1.67943681519778
-1.50126;1.10196;0.3854845;-1.48368573591571;-1.6021517674422;0.469567207560044
-0.41535;0.4716425;-1.444015;-0.346221858861024;0.255425062711035;-0.237708398561661
-0.4898655;1.138615;0.4403405;0.187278897633649;0.131696588233688;-0.0394484648771517
-2.51719;-0.9537895;0.05062815;0.287939417726984;-0.496844062111234;-1.06683589650969
-1.64184;-1.96199;0.743525;-0.195231078721023;-0.127308351672225;0.15792041292563
1.171425;-1.65973;0.983161;-0.78409512126703;-0.158652898539819;-0.970156333342187
1.266005;-1.43292;-1.017745;0.836539252235658;0.184487404010689;-0.576309633618352
-0.3802785;1.371075;0.2942305;1.16871896854366;-1.54276209969307;1.06078278508666
1.196315;-0.739919;-0.3201495;0.997596084384993;-0.514990905034578;0.0501026512365256
0.1396985;-0.603139;0.6203165;-1.4081903458457;-1.54276209969307;-0.211199486080249
1.653655;0.1654755;-0.932025;-0.29085857280969;0.111900032317313;0.540628914127863
-1.00552;-1.77809;0.41797;-0.24556133876769;0.806429202383486;-0.758976089372619
-0.416563;-1.701235;1.533415;-0.305957650823691;0.144894292177938;0.232546343020361
-0.05144855;-0.4560055;0.5537435;0.383566911815652;-0.241138548191384;-0.320131067621514
-1.18873;1.72566;-0.2844305;-0.00397609054368672;-0.587578276727955;0.108912339430582
-0.7421325;-0.747832;-0.2097025;0.141981663591649;0.0987023283730622;-0.955899439234536
0.1606525;0.2895885;-1.022205;-1.23203443568237;-0.934018005264526;-1.06082126930802
-0.251876;1.40551;-0.492046;-1.39812429383637;1.32278936920228;0.934475613851698
0.247075;-1.4151;-0.402111;0.474161379899653;0.494633446700572;-0.248401069142399
-0.589114;0.481811;-0.7017815;0.0966844295496479;1.519105215373;-0.0659573773585636
-0.2300165;-0.49334;-0.37074;0.202377975647649;-0.604075406658268;0.613249968488706
-0.580981;0.2681435;1.105825;-0.950184979421032;0.176238839045533;0.276876373136335
-1.382555;1.651565;-1.184435;-1.51388389194371;-0.100912943783724;-0.76565900848558
0.135867;-0.00315085;-2.47678;-0.215363182739689;-1.3019040027105;-1.09089440531635
0.0184191;-0.8753195;-1.002445;1.556261970903;-0.854831781599025;-0.538439758644906
-0.211378;0.7305355;-0.6701245;0.670449394081655;-1.37944051338298;0.69478158166683
-0.431915;0.1949795;1.30652;-0.456948430963693;-0.453951524292421;0.146113922492732
0.07912225;1.09212;-0.458507;-0.0341742465716871;-0.831735799696586;-0.472947151337888
-0.226933;2.32759;0.08702785;-0.774029069257697;2.85207331374229;0.614586552311298
-0.8054895;0.730854;0.4949525;-0.451915404959026;1.67417823671795;1.29112073051338
0.2039255;0.5966165;-1.066155;0.635218212048988;-1.40253649528541;-1.00535304067045
0.1973965;-0.8623665;-1.92812;-0.859590511337031;-0.988458534034559;-2.37891568235436
0.505041;-0.638582;0.484336;1.04792634443166;-0.533137747957923;-0.413469171232536
-0.3305435;0.1782085;1.546905;-0.633104341127028;-0.303827641926573;-1.38895259775441
1.65784;0.550646;0.182922;-0.0945705586276879;1.58674344808729;-0.525519448359848
0.005470885;-0.741232;0.4649035;1.44553539880033;-0.295579076961417;-1.97571289587238
-0.4816155;0.858426;-0.703319;0.77110991417499;1.48281152952632;0.44394935096036
-1.193355;1.54065;-0.6472545;-1.51891691794837;0.557322540435761;-0.458690257230238
-1.72803;0.217968;1.465;-0.341188832856358;0.831174897278956;-1.19358859568552
0.85987;0.337349;0.5495285;1.299577644665;1.32608879518834;-0.384287091105939
-0.876259;0.9503235;1.078675;-2.26380476663905;1.3920773149096;1.36886535619416
-0.5378575;-0.768908;-1.11874;-0.864623537341698;-1.01485394192306;-0.815112609921492
-0.9167485;1.030695;0.703192;-2.03228557042438;0.451740908881759;0.230764231256905
-0.2989315;-0.4190125;-0.7123195;0.207411001652316;0.209233098906159;-1.99420230541824
0.6667825;-0.327889;-1.74161;0.917067668310325;-1.36624280943873;0.461547704624491
-0.500172;-0.182904;-0.5563705;0.308071521745651;0.430294639972352;0.814405833788832
0.562959;-1.486575;-1.46989;0.891902538286992;-0.161952324525882;-0.688359910745665
0.6198495;-1.092625;1.423705;0.111783507563648;-0.571081146797642;0.676960464032267
0.5402985;0.225693;0.08971195;0.0715192995263143;1.07533242024759;1.02937306525574
2.11763;-0.1883755;-0.4788005;1.19891712457166;-1.43388104215301;-1.38895259775441
-0.752251;1.58823;0.102095;-0.904887745379032;-0.183398593435289;-0.452898393999005
0.375495;-0.01054335;-2.03972;-1.01058129147703;-1.66649057417042;-0.912905992941154
-0.713635;0.0172725;-1.7307;-0.225429234749023;-0.501793201090328;0.0273807262524582
-0.529216;-1.297565;-0.787177;1.11335568249233;0.0789057724566867;-0.104718308213737
0.284759;0.272598;-0.87435;1.148586864525;1.1759649128225;0.542188261920887
-0.618112;0.604475;-0.5096145;-2.17824332455972;0.318114156446224;1.15211601296379
-0.50286;0.3632475;-0.07921885;0.499326509922986;-0.317025345870823;0.886358596238378
-0.0636529;-0.471484;-0.574156;1.07309147445499;0.550723688463636;0.521248448700276
-0.4148295;-0.4259605;-1.470615;1.299577644665;-0.437454394362108;-0.804419939340754
-2.621025;-0.715759;2.760355;0.735878732142323;-0.191647158400445;-0.775015095243726
-0.9388425;-1.5025;0.455508;0.413765067843652;0.0574595035472799;1.26706222170672
0.291905;-0.225117;1.039865;1.48579960683767;1.52900349333119;1.33233206504331
-1.03019;0.608842;-0.8103335;-0.336155806851691;0.65795503301067;0.722404314000402
-0.1626505;0.3095025;-0.131165;0.27787336571765;-0.137206629630412;0.722849841941266
1.230705;-0.02662185;-0.440276;1.39520513875366;3.58124645666212;1.35549951796824
0.0726438;1.037235;-0.501524;-1.98195531037771;-0.234539696219259;1.64642926335248
0.1929615;1.102525;0.7433915;-1.86116268626571;0.130046875240657;2.27195049232563
0.241497;0.83406;0.8007895;-1.08607668154703;-0.551284590881267;0.0786164394518259
-0.1831375;-0.8696075;-0.571225;0.383566911815652;0.116849171296406;1.4359173112942
1.729295;-0.770257;0.5138255;1.24421435861366;-0.0299752850833785;0.887472416090539
0.665503;-0.25949;0.5275245;0.685548472095656;1.16771634785734;0.153910661457853
-0.0929442;-0.267078;1.0477;1.208983176581;-0.749250150045022;0.737106736048916
0.638729;-0.240441;1.18738;-0.612972237108361;-0.623871962574644;-0.380722867579027
2.349685;0.3468185;0.575954;0.972430954361659;1.4976589464636;0.671614128741898
0.774065;2.10006;0.6373535;-1.85612966026104;0.293368461550755;1.76026165224324
1.28486;0.363467;0.2021735;-0.864623537341698;0.829525184285925;1.20580212983791
1.055485;0.1642905;1.321705;1.86327655718767;1.38382874994444;0.157697648955198
-1.379815;-0.3568385;1.7835;-1.78063427019104;0.963151936721459;1.10043477182356
-0.3290075;1.644145;0.746727;-1.27733166972437;0.331311860390474;1.89246410996765
0.752393;0.297479;0.8826105;0.0614532475169808;1.24360314553678;0.447351340877788
0.8528895;-1.1687;1.168785;0.00105693546098;0.514430002616948;0.326112009860639
0.436102;0.396023;0.764478;1.254280410623;-0.0596701189579418;1.64510584637538
1.17113;1.42977;1.23992;2.20048929950034;1.30134310029287;1.34932692116946
0.1410285;-1.641305;1.331445;0.0161560134749802;0.110250319324281;-0.202386374263652
0.745019;-0.8823135;1.96929;-0.295891598814357;0.801480063404393;1.67738628745115
